ID;Name;Club;CA;Age;Nati;Position;Division
204;Jesús Murillo;LAFC;127;29;COL;D (RC);Major League Soccer
208;Jhojan Valencia;Austin FC;126;26;COL;DM, M (C);Major League Soccer
263;Carlos Gómez;Real Salt Lake;117;20;COL;AM (RL);Major League Soccer
7;Lorenzo Insigne;Toronto FC;145;32;ITA;AM (L), ST (C);Major League Soccer
9;Federico Bernardeschi;Toronto FC;140;29;ITA;WB/M/AM (RL);Major League Soccer
111;Raoul Petretta;Toronto FC;111;26;ITA;D/WB (L);Major League Soccer
8;Xherdan Shaqiri;Chicago;136;31;SUI;AM (RLC);Major League Soccer
23;Roman Bürki;St. Louis CITY;133;32;SUI;GK;Major League Soccer
167;Stefan Frei;Seattle;117;37;SUI;GK;Major League Soccer
10;Teemu Pukki;Minnesota;127;33;FIN;ST (C);Major League Soccer
43;Robin Lod;Minnesota;129;30;FIN;M/AM (RLC), ST (C);Major League Soccer
103;Robert Taylor;Inter Miami;123;28;FIN;M/AM (RL);Major League Soccer
105;Alexander Ring;Austin FC;123;32;FIN;D (C), DM, M (C);Major League Soccer
177;Lassi Lappalainen;CF Montréal;112;24;FIN;WB (L), AM (RL);Major League Soccer
209;Jere Uronen;Charlotte FC;122;28;FIN;D/WB (L);Major League Soccer
222;Leo Väisänen;Austin FC;119;25;FIN;D (C);Major League Soccer
11;Héctor Herrera;Houston;150;33;MEX;DM, M (C);Major League Soccer
78;Alan Pulido;Sporting KC;129;32;MEX;AM (C), ST (C);Major League Soccer
251;Omar Campos;LAFC;127;20;MEX;D/WB/M (L);Major League Soccer
13;Emil Forsberg;New York;140;31;SWE;M (L), AM (RLC);Major League Soccer
146;Joakim Nilsson;St. Louis CITY;123;29;SWE;D (C);Major League Soccer
14;Hany Mukhtar;Nashville;139;28;GER;M/AM (LC), ST (C);Major League Soccer
73;Erik Thommy;Sporting KC;125;28;GER;M (L), AM (RLC);Major League Soccer
100;Rafael Czichos;Chicago;127;33;GER;D (C);Major League Soccer
114;Kai Wagner;Philadelphia;124;26;GER;D/WB/M (L);Major League Soccer
125;Tim Leibold;Sporting KC;120;29;GER;D/WB/M (L);Major League Soccer
145;Eduard Löwen;St. Louis CITY;128;26;GER;D (C), DM, M (C);Major League Soccer
158;Robert Voloder;Sporting KC;111;22;GER;D (C);Major League Soccer
16;Zack Steffen;Colorado;130;28;USA;GK;Major League Soccer
18;Walker Zimmerman;Nashville;132;30;USA;D (C);Major League Soccer
26;Miles Robinson;Cincinnati;132;26;USA;D (C);Major League Soccer
38;Shaq Moore;Nashville;126;26;USA;D/WB/M (R);Major League Soccer
51;DeAndre Yedlin;Cincinnati;121;29;USA;D/WB (R);Major League Soccer
53;Matt Miazga;Cincinnati;129;27;USA;D (C);Major League Soccer
56;Jordan Morris;Seattle;130;28;USA;AM (RL), ST (C);Major League Soccer
69;Jesus Ferreira;FC Dallas;126;22;USA;AM (RC), ST (C);Major League Soccer
71;Cristian Roldan;Seattle;127;28;USA;M/AM (RC);Major League Soccer
75;Kellyn Acosta;Chicago;129;27;USA;DM, M (C);Major League Soccer
81;Brad Guzan;Atlanta United;113;38;USA;GK;Major League Soccer
83;Bobby Wood;New England;118;30;USA;ST (C);Major League Soccer
87;Paul Arriola;FC Dallas;129;28;USA;M/AM (RL);Major League Soccer
89;Aaron Long;LAFC;128;30;USA;D (C);Major League Soccer
91;Djordje Mihailović;Colorado;131;24;USA;M (C), AM (LC);Major League Soccer
96;Sean Johnson;Toronto FC;123;34;USA;GK;Major League Soccer
98;Alfredo Morales;San Jose;116;33;USA;DM, M (RC);Major League Soccer
106;Sam Vines;Colorado;116;24;USA;D (L);Major League Soccer
112;Julian Gressel;Inter Miami;120;29;USA;D/WB (R), M (RC), AM (R);Major League Soccer
131;William Yarbrough;San Jose;116;34;USA;GK;Major League Soccer
133;Darlington Nagbe;Columbus;121;32;USA;DM, M (C);Major League Soccer
134;Matt Hedges;Austin FC;116;33;USA;D (C);Major League Soccer
135;Wil Trapp;Minnesota;119;30;USA;DM, M (C);Major League Soccer
136;Gyasi Zardes;Austin FC;119;31;USA;AM (RL), ST (C);Major League Soccer
140;DeJuan Jones;New England;121;26;USA;D/M (RL);Major League Soccer
160;Steven Birnbaum;D.C. United;117;32;USA;D (C);Major League Soccer
164;Brooks Lennon;Atlanta United;118;25;USA;D/WB/M/AM (R);Major League Soccer
169;Jonathan Lewis;Colorado;115;26;USA;M/AM (RL), ST (C);Major League Soccer
170;James Sands;NYCFC;120;22;USA;D (C), DM, M (C);Major League Soccer
171;Aidan Morris;Columbus;118;21;USA;DM, M (C);Major League Soccer
172;Jalen Neal;LA Galaxy;108;19;USA;D (C);Major League Soccer
182;Nick Lima;New England;118;28;USA;D/WB (RL);Major League Soccer
183;Eryk Williamson;Portland;116;26;USA;M (C);Major League Soccer
193;Hassani Dotson;Minnesota;119;25;USA;D (R), WB (RL), DM, M (C);Major League Soccer
196;Omar González;FC Dallas;110;34;USA;D (C);Major League Soccer
199;Tim Melia;Sporting KC;111;37;USA;GK;Major League Soccer
217;John Tolkin;New York;115;20;USA;D/WB (L);Major League Soccer
218;Corey Baird;Cincinnati;115;27;USA;AM (RL), ST (C);Major League Soccer
220;Sean Davis;Nashville;115;30;USA;M (RC);Major League Soccer
221;Matt Polster;New England;117;30;USA;D (R), DM;Major League Soccer
223;Daniel Lovitz;Nashville;110;31;USA;D/WB/M (L);Major League Soccer
225;Brad Stuver;Austin FC;110;32;USA;GK;Major League Soccer
227;Timothy Tillman;LAFC;114;24;USA;M (C), AM (LC);Major League Soccer
228;Ryan Hollingshead;LAFC;116;32;USA;D/M (RL);Major League Soccer
229;Mark Delgado;LA Galaxy;116;28;USA;M (RC);Major League Soccer
230;Steve Clark;Houston;109;37;USA;GK;Major League Soccer
236;Russell Canouse;D.C. United;120;28;USA;D (R), DM, M (C);Major League Soccer
241;Dax McCarty;Atlanta United;109;36;USA;DM, M (C);Major League Soccer
242;Ethan Finlay;Austin FC;110;32;USA;M/AM (R);Major League Soccer
243;Tyler Boyd;Nashville;108;28;USA;AM (RL);Major League Soccer
244;Alex Muyl;Nashville;110;27;USA;M (RLC), AM (RL);Major League Soccer
246;Juan David Mosquera;Portland;120;20;USA;D/WB (R);Major League Soccer
250;Benjamin Cremaschi;Inter Miami;105;18;USA;M (RC);Major League Soccer
253;Quinn Sullivan;Philadelphia;107;19;USA;M (R), AM (RC), ST (C);Major League Soccer
254;Noel Buck;New England;103;18;USA;M/AM (RC);Major League Soccer
258;Chris Brady;Chicago;110;19;USA;GK;Major League Soccer
259;Brian Gutiérrez;Chicago;115;20;USA;M (C), AM (RLC);Major League Soccer
264;Christian McFarlane;NYCFC;86;16;USA;D/WB (L);Major League Soccer
19;Mateusz Klich;D.C. United;126;33;POL;M/AM (C);Major League Soccer
207;Mateusz Bogusz;LAFC;118;21;POL;M/AM (C);Major League Soccer
20;Victor Wanyama;CF Montréal;128;32;KEN;DM, M (C);Major League Soccer
21;Maya Yoshida;LA Galaxy;120;34;JPN;D (C);Major League Soccer
37;Miki Yamane;LA Galaxy;120;29;JPN;D (RC);Major League Soccer
94;Yuya Kubo;Cincinnati;120;29;JPN;M/AM (C);Major League Soccer
22;Christian Benteke;D.C. United;118;32;BEL;ST (C);Major League Soccer
62;Hugo Cuypers;Chicago;128;26;BEL;ST (C);Major League Soccer
72;Dante Vanzeir;New York;129;25;BEL;AM (R), ST (C);Major League Soccer
108;Brecht Dejaegere;Charlotte FC;125;32;BEL;DM, M/AM (C);Major League Soccer
24;Liel Abada;Charlotte FC;129;21;ISR;AM (R), ST (C);Major League Soccer
203;Tai Baribo;Philadelphia;117;25;ISR;ST (C);Major League Soccer
25;Petar Musa;FC Dallas;137;25;CRO;ST (C);Major League Soccer
64;Damir Kreilach;Vancouver;123;34;CRO;DM, M/AM (C), ST (C);Major League Soccer
70;Dario Zuparic;Portland;120;31;CRO;D (C);Major League Soccer
124;Kristijan Kahlina;Charlotte FC;130;30;CRO;GK;Major League Soccer
27;Carlos Gruezo;San Jose;124;28;ECU;DM, M (C);Major League Soccer
99;Leonardo Campana;Inter Miami;119;22;ECU;ST (C);Major League Soccer
149;Xavier Arreaga;Seattle;117;28;ECU;D (C), DM;Major League Soccer
247;Pedro Vite;Vancouver;112;21;ECU;M/AM (LC);Major League Soccer
33;Raúl Ruidíaz;Seattle;132;32;PER;AM (R), ST (C);Major League Soccer
58;Pedro Gallese;Orlando City;130;33;PER;GK;Major League Soccer
129;Miguel Araujo;Portland;124;28;PER;D (C);Major League Soccer
152;Luis Abram;Atlanta United;129;27;PER;D (C);Major League Soccer
187;Wilder Cartagena;Orlando City;122;28;PER;DM, M (C);Major League Soccer
35;Ashley Westwood;Charlotte FC;130;33;ENG;DM, M (C);Major League Soccer
109;Sam Surridge;Nashville;120;24;ENG;ST (C);Major League Soccer
162;Jack Elliott;Philadelphia;116;27;ENG;D (C);Major League Soccer
249;Dru Yearwood;Nashville;108;23;ENG;DM, M (C);Major League Soccer
255;Nathan Byrne;Charlotte FC;115;31;ENG;D/WB (R);Major League Soccer
260;Matt Crooks;Real Salt Lake;122;29;ENG;M/AM (C), ST (C);Major League Soccer
261;Calvin Harris;Colorado;97;23;ENG;AM (RL), ST (C);Major League Soccer
265;Tyger Smalls;Charlotte FC;81;21;ENG;AM (RL), ST (C);Major League Soccer
36;Hannes Wolf;NYCFC;123;24;AUT;M (L), AM (RLC);Major League Soccer
67;Alessandro Schöpf;Vancouver;128;29;AUT;WB (R), M/AM (RC);Major League Soccer
40;Amahl Pellegrino;San Jose;131;33;NOR;AM (RL), ST (C);Major League Soccer
122;Sigurd Rosted;Toronto FC;117;28;NOR;D (RC);Major League Soccer
126;Jakob Glesnes;Philadelphia;117;29;NOR;D (C);Major League Soccer
176;Birk Risa;NYCFC;123;25;NOR;D (LC), WB (L);Major League Soccer
41;Dominik Yankov;CF Montréal;113;22;BUL;M (C), AM (RLC);Major League Soccer
42;Erik Sviatchenko;Houston;129;31;DEN;D (C);Major League Soccer
144;Andreas Maxsø;Colorado;126;29;DEN;D (C);Major League Soccer
214;Mikael Uhre;Philadelphia;124;28;DEN;ST (C);Major League Soccer
44;Giorgos Giakoumakis;Atlanta United;130;28;GRE;ST (C);Major League Soccer
45;Scott Arfield;Charlotte FC;122;34;CAN;M/AM (RLC);Major League Soccer
52;Sam Adekugbe;Vancouver;115;28;CAN;D/WB (L);Major League Soccer
63;Jonathan Osorio;Toronto FC;126;31;CAN;M (RLC), AM (LC);Major League Soccer
97;Samuel Piette;CF Montréal;116;28;CAN;DM, M (C);Major League Soccer
102;Mark-Anthony Kaye;New England;123;28;CAN;D (L), DM, M (LC);Major League Soccer
132;Maxime Crépeau;Portland;120;29;CAN;GK;Major League Soccer
138;Richie Laryea;Toronto FC;122;28;CAN;D/WB (RL);Major League Soccer
139;Dayne St. Clair;Minnesota;118;26;CAN;GK;Major League Soccer
185;Kamal Miller;Portland;118;26;CAN;D (LC);Major League Soccer
195;Lukas MacNaughton;Nashville;110;28;CAN;D (C);Major League Soccer
197;Jacob Shaffelburg;Nashville;112;23;CAN;M/AM (L);Major League Soccer
248;Jahkeele Marshall-Rutty;Toronto FC;107;19;CAN;D/WB/M/AM (RL);Major League Soccer
47;Andre Blake;Philadelphia;131;32;JAM;GK;Major League Soccer
95;Damion Lowe;Philadelphia;117;30;JAM;D (C);Major League Soccer
113;Alvas Powell;Cincinnati;116;28;JAM;D (R);Major League Soccer
240;Cory Burke;New York;103;31;JAM;AM (R), ST (C);Major League Soccer
48;Jonathan Mensah;New England;117;32;GHA;D (C);Major League Soccer
80;Joseph Paintsil;LA Galaxy;127;25;GHA;AM (RL);Major League Soccer
137;Eugene Ansah;FC Dallas;106;28;GHA;AM (RL), ST (C);Major League Soccer
226;Kwadwo Opoku;CF Montréal;113;21;GHA;AM (R), ST (C);Major League Soccer
50;Ján Gregus;Houston;115;32;SVK;DM, M (C);Major League Soccer
65;Albert Rusnák;Seattle;127;28;SVK;M/AM (LC);Major League Soccer
57;Evander;Portland;131;25;BRA;DM, M/AM (C);Major League Soccer
123;João Klauss;St. Louis CITY;124;26;BRA;ST (C);Major League Soccer
148;Antony;Portland;124;21;BRA;AM (RLC);Major League Soccer
153;João Paulo;Seattle;127;32;BRA;M/AM (C);Major League Soccer
174;Léo Chu;Seattle;125;23;BRA;AM (L), ST (C);Major League Soccer
192;Talles Magno;NYCFC;129;21;BRA;AM (RLC), ST (C);Major League Soccer
231;Artur;Houston;116;27;BRA;DM, M (C);Major League Soccer
262;Rafael Navarro;Colorado;123;23;BRA;AM (L), ST (C);Major League Soccer
59;Saba Lobzhanidze;Atlanta United;115;28;GEO;AM (RL);Major League Soccer
60;Gastón Giménez;Chicago;126;31;PAR;DM, M (C);Major League Soccer
92;Andrés Cubas;Vancouver;122;27;PAR;DM, M (C);Major League Soccer
151;Carlos Coronel;New York;126;26;PAR;GK;Major League Soccer
179;Cristhian Paredes;Portland;110;25;PAR;DM, M (C);Major League Soccer
237;Braian Ojeda;Real Salt Lake;119;23;PAR;DM, M (RC);Major League Soccer
245;Sebastián Ferreira;Houston;124;25;PAR;ST (C);Major League Soccer
61;Josef Martínez;CF Montréal;124;30;VEN;AM (L), ST (C);Major League Soccer
159;José Martínez;Philadelphia;123;28;VEN;DM, M (C);Major League Soccer
168;David Martínez;LAFC;104;17;VEN;AM (RLC);Major League Soccer
232;Daniel Pereira;Austin FC;111;22;VEN;DM, M (C);Major League Soccer
68;Bryan Oviedo;Real Salt Lake;114;33;CRC;D/WB/M (L);Major League Soccer
234;Randall Leal;Nashville;114;26;CRC;M (C), AM (RLC);Major League Soccer
235;Julio Cascante;Austin FC;112;29;CRC;D (C);Major League Soccer
74;Nemanja Radoja;Sporting KC;125;30;SRB;DM, M (C);Major League Soccer
154;Dejan Joveljić;LA Galaxy;124;23;SRB;ST (C);Major League Soccer
76;Denis Bouanga;LAFC;135;28;GAB;M (L), AM (RL), ST (C);Major League Soccer
206;Aaron Boupendza;Cincinnati;130;26;GAB;AM (RL), ST (C);Major League Soccer
77;Dániel Sallói;Sporting KC;120;26;HUN;AM (RL), ST (C);Major League Soccer
88;Dániel Gazdag;Philadelphia;127;27;HUN;M/AM (C), ST (C);Major League Soccer
79;Martín Rodríguez;D.C. United;125;28;CHI;M (L), AM (RLC);Major League Soccer
175;Felipe Mora;Portland;127;29;CHI;ST (C);Major League Soccer
82;David Brekalo;Orlando City;125;24;SVN;D (C);Major League Soccer
216;Aljaž Ivačič;Portland;117;29;SVN;GK;Major League Soccer
101;Maarten Paes;FC Dallas;127;25;NED;GK;Major League Soccer
104;Ryan Gauld;Vancouver;136;27;SCO;M (C), AM (LC);Major League Soccer
116;Johnny Russell;Sporting KC;118;33;SCO;AM (RL);Major League Soccer
142;Lewis Morgan;New York;124;26;SCO;AM (RLC);Major League Soccer
107;Larrys Mabiala;Portland;113;35;COD;D (C);Major League Soccer
115;Tolo Nouhou;Seattle;121;26;CMR;D (LC), WB (L);Major League Soccer
119;Olivier Mbaizo;Philadelphia;112;25;CMR;D (RL), WB (R);Major League Soccer
121;Bruno Wilson;San Jose;126;26;POR;D (C);Major League Soccer
165;Pedro Santos;D.C. United;118;35;POR;D/WB/M/AM (L);Major League Soccer
127;Serhiy Kryvtsov;Inter Miami;120;32;UKR;D (C);Major League Soccer
128;Yevhen Cheberko;Columbus;114;25;UKR;D (LC);Major League Soccer
141;Adalberto Carrasquilla;Houston;122;24;PAN;DM, M/AM (C);Major League Soccer
147;Aníbal Godoy;Nashville;113;33;PAN;DM, M (C);Major League Soccer
143;Michael Boxall;Minnesota;107;34;NZL;D (RC);Major League Soccer
155;Bill Tuiloma;Charlotte FC;116;28;NZL;D (C), DM;Major League Soccer
150;Obinna Nwobodo;Cincinnati;122;26;NGA;DM, M (C);Major League Soccer
184;William Agada;Sporting KC;109;23;NGA;AM (L), ST (C);Major League Soccer
163;Álex Roldán;Seattle;111;26;SLV;D/WB (R), M (RC);Major League Soccer
166;Brad Smith;Houston;115;29;AUS;D/WB (L);Major League Soccer
178;Bongokuhle Hlongwane;Minnesota;122;23;RSA;AM (RL), ST (C);Major League Soccer
181;Alexandru Măţan;Columbus;115;23;ROU;AM (RLC);Major League Soccer
191;Fafà Picault;Vancouver;113;32;HAI;AM (RL), ST (C);Major League Soccer
210;Amine Bassi;Houston;113;25;MAR;M (C), AM (RC);Major League Soccer
213;Kervin Arriaga;Minnesota;112;25;HON;DM, M (C);Major League Soccer
219;Deybi Flores;Toronto FC;110;27;HON;DM, M (C);Major League Soccer
224;Derrick Williams;Atlanta United;117;30;IRL;D (LC);Major League Soccer
233;Connor Ronan;Colorado;120;25;IRL;M (C), AM (RC);Major League Soccer
238;Steven Moreira;Columbus;115;28;CPV;D (RC), WB (R);Major League Soccer
256;Lamine Diack;Colorado;105;22;SEN;DM, M (C);Major League Soccer
283;Nicolás Tagliafico;OL;134;30;ARG;D/WB/M (L);Ligue 1 Uber Eats
285;Joaquín Correa;OM;139;28;ARG;M (L), AM (LC), ST (C);Ligue 1 Uber Eats
397;Leonardo Balerdi;OM;133;24;ARG;D (C);Ligue 1 Uber Eats
480;Facundo Medina;RC Lens;141;24;ARG;D (C);Ligue 1 Uber Eats
273;Marco Asensio;Paris SG;159;27;ESP;AM (RLC);Ligue 1 Uber Eats
277;Fabián;Paris SG;151;27;ESP;DM, M/AM (C);Ligue 1 Uber Eats
296;Pau López;OM;142;28;ESP;GK;Ligue 1 Uber Eats
299;Carlos Soler;Paris SG;148;26;ESP;M/AM (RC);Ligue 1 Uber Eats
330;Rubén Blanco;OM;135;27;ESP;GK;Ligue 1 Uber Eats
337;Sergio Rico;Paris SG;132;29;ESP;GK;Ligue 1 Uber Eats
386;Sergio Akieme;Reims;126;25;ESP;D/WB (L);Ligue 1 Uber Eats
464;Pedro Chirivella;FC Nantes;128;26;ESP;DM, M (C);Ligue 1 Uber Eats
531;César Gelabert;Toulouse FC;120;22;ESP;M (C), AM (RLC);Ligue 1 Uber Eats
624;Álex Domínguez;Toulouse FC;108;24;ESP;GK;Ligue 1 Uber Eats
631;Pedro Ruiz;OM;103;23;ESP;ST (C);Ligue 1 Uber Eats
1081;Ismael Sylla;Toulouse FC;66;17;ESP;AM (L), ST (C);Ligue 1 Uber Eats
297;Manuel Ugarte;Paris SG;152;22;URU;DM, M (C);Ligue 1 Uber Eats
416;Martín Satriano;Brest;124;22;URU;ST (C);Ligue 1 Uber Eats
266;Kylian Mbappé;Paris SG;188;24;FRA;AM (RL), ST (C);Ligue 1 Uber Eats
269;Ousmane Dembélé;Paris SG;167;26;FRA;M/AM (RL);Ligue 1 Uber Eats
272;Lucas Hernández;Paris SG;161;27;FRA;D (LC);Ligue 1 Uber Eats
274;Randal Kolo Muani;Paris SG;155;24;FRA;AM (RL), ST (C);Ligue 1 Uber Eats
278;Alexandre Lacazette;OL;139;32;FRA;ST (C);Ligue 1 Uber Eats
280;Benjamin Mendy;FC Lorient;138;28;FRA;D/WB (L);Ligue 1 Uber Eats
281;Jordan Veretout;OM;144;30;FRA;DM, M (C);Ligue 1 Uber Eats
282;Wissam Ben Yedder;AS Monaco;146;32;FRA;ST (C);Ligue 1 Uber Eats
284;Presnel Kimpembe;Paris SG;150;27;FRA;D (C);Ligue 1 Uber Eats
291;Tiémoué Bakayoko;FC Lorient;127;28;FRA;DM, M (C);Ligue 1 Uber Eats
292;Samuel Umtiti;LOSC;134;29;FRA;D (C);Ligue 1 Uber Eats
298;Corentin Tolisso;OL;128;28;FRA;DM, M/AM (C);Ligue 1 Uber Eats
306;Nordi Mukiele;Paris SG;142;25;FRA;D (RC), WB (R);Ligue 1 Uber Eats
308;Valentin Rosier;OGC Nice;125;26;FRA;D (R);Ligue 1 Uber Eats
312;Benjamin Stambouli;Reims;130;32;FRA;DM, M (C);Ligue 1 Uber Eats
315;Samuel Gigot;OM;138;29;FRA;D (C);Ligue 1 Uber Eats
320;Rémy Cabella;LOSC;136;33;FRA;M (C), AM (LC);Ligue 1 Uber Eats
323;Steve Mandanda;Rennes;134;38;FRA;GK;Ligue 1 Uber Eats
324;Morgan Sanson;OGC Nice;135;28;FRA;M/AM (C);Ligue 1 Uber Eats
325;Youssouf Fofana;AS Monaco;143;24;FRA;DM, M (C);Ligue 1 Uber Eats
328;Jonathan Clauss;OM;145;30;FRA;D/WB/M (R);Ligue 1 Uber Eats
334;Adrien Truffert;Rennes;134;21;FRA;D/M (L);Ligue 1 Uber Eats
335;Téji Savanier;Montpellier;144;31;FRA;M/AM (C);Ligue 1 Uber Eats
336;Valentin Rongier;OM;141;28;FRA;DM, M (C);Ligue 1 Uber Eats
338;Ludovic Blas;Rennes;140;25;FRA;M (C), AM (RC);Ligue 1 Uber Eats
341;Layvin Kurzawa;Paris SG;125;30;FRA;D/WB (L);Ligue 1 Uber Eats
346;Jean-Clair Todibo;OGC Nice;147;23;FRA;D (C);Ligue 1 Uber Eats
348;Angelo Fulgini;RC Lens;132;26;FRA;M/AM (C);Ligue 1 Uber Eats
349;Martin Terrier;Rennes;147;26;FRA;AM (RLC), ST (C);Ligue 1 Uber Eats
351;Warren Zaïre-Emery;Paris SG;148;17;FRA;DM, M (C);Ligue 1 Uber Eats
352;Pierre Lees-Melou;Brest;136;30;FRA;DM, M (C);Ligue 1 Uber Eats
354;Benjamin Bourigeaud;Rennes;142;29;FRA;M (RC), AM (R);Ligue 1 Uber Eats
355;Romain Perraud;OGC Nice;128;25;FRA;D/WB (L);Ligue 1 Uber Eats
357;Yann Karamoh;Montpellier;125;24;FRA;AM (RLC), ST (C);Ligue 1 Uber Eats
360;Jean-Victor Makengo;FC Lorient;127;25;FRA;DM, M (C);Ligue 1 Uber Eats
364;Rayan Cherki;OL;126;19;FRA;AM (RLC), ST (C);Ligue 1 Uber Eats
365;Laurent Abergel;FC Lorient;130;30;FRA;DM, M (C);Ligue 1 Uber Eats
366;Brice Samba;RC Lens;142;29;FRA;GK;Ligue 1 Uber Eats
368;Arnaud Kalimuendo;Rennes;135;21;FRA;ST (C);Ligue 1 Uber Eats
369;Enzo Le Fée;Rennes;133;23;FRA;M/AM (C);Ligue 1 Uber Eats
370;Khephren Thuram;OGC Nice;143;22;FRA;DM, M (C);Ligue 1 Uber Eats
371;Alban Lafont;FC Nantes;136;24;FRA;GK;Ligue 1 Uber Eats
375;Moussa Sissoko;FC Nantes;124;33;FRA;M (RC), AM (R);Ligue 1 Uber Eats
388;Kevin Gameiro;Strasbourg;124;36;FRA;ST (C);Ligue 1 Uber Eats
392;Maxime Gonalons;Clermont;118;34;FRA;DM, M (C);Ligue 1 Uber Eats
393;Ruben Aguilar;RC Lens;135;30;FRA;D/WB (R);Ligue 1 Uber Eats
400;Nicolas Cozza;FC Nantes;125;24;FRA;D (LC), WB (L);Ligue 1 Uber Eats
401;Frédéric Guilbert;Strasbourg;133;28;FRA;D/WB (R);Ligue 1 Uber Eats
407;Maxence Caqueret;OL;133;23;FRA;DM, M/AM (C);Ligue 1 Uber Eats
408;Quentin Merlin;OM;130;21;FRA;D/WB/M/AM (L);Ligue 1 Uber Eats
411;Joris Chotard;Montpellier;130;21;FRA;DM, M (C);Ligue 1 Uber Eats
412;Baptiste Santamaria;Rennes;135;28;FRA;DM, M/AM (C);Ligue 1 Uber Eats
414;Benjamin André;LOSC;137;32;FRA;DM, M (C);Ligue 1 Uber Eats
415;Benjamin Lecomte;Montpellier;136;32;FRA;GK;Ligue 1 Uber Eats
